index,host,destination,start_timestamp,end_timestamp,nbytes_size,total_time
1.0,194.171.96.217,192.84.128.36,2016-05-04T23:59:52.495Z,2016-05-04T23:55:20.187Z,3582818094.0,272.308
2.0,194.171.96.191,134.158.72.167,2016-05-04T23:59:52.898Z,2016-05-04T23:58:52.558Z,1110387332.0,60.34
3.0,194.171.96.203,194.171.101.196,2016-05-05T00:00:25.353Z,2016-05-05T00:00:16.605Z,4176514172.0,8.748
4.0,194.171.96.178,194.171.100.92,2016-05-05T00:00:28.288Z,2016-05-05T00:00:28.017Z,328766.0,0.271
5.0,194.171.96.182,194.171.100.2,2016-05-05T00:00:47.020Z,2016-05-05T00:00:46.770Z,1267386.0,0.25
8.0,194.171.96.208,194.171.100.11,2016-05-05T00:01:16.500Z,2016-05-05T00:01:09.422Z,4157070580.0,7.078
9.0,194.171.96.210,194.171.101.198,2016-05-05T00:01:12.389Z,2016-05-05T00:01:03.333Z,4108472404.0,9.056
10.0,194.171.96.210,134.158.72.190,2016-05-05T00:01:21.770Z,2016-05-04T23:58:51.073Z,1115916823.0,150.697
11.0,194.171.96.208,194.171.101.142,2016-05-05T00:02:31.566Z,2016-05-05T00:02:24.373Z,4163570062.0,7.193
12.0,194.171.96.177,194.171.101.140,2016-05-05T00:02:47.689Z,2016-05-05T00:02:45.442Z,1432987572.0,2.247
13.0,194.171.96.204,194.171.100.11,2016-05-05T00:02:59.536Z,2016-05-05T00:02:49.029Z,4155669091.0,10.507
14.0,194.171.96.204,194.171.100.53,2016-05-05T00:03:19.644Z,2016-05-05T00:03:07.906Z,2692143421.0,11.738
15.0,194.171.96.183,194.171.101.140,2016-05-05T00:03:17.218Z,2016-05-05T00:03:13.925Z,1440461146.0,3.293
16.0,194.171.96.205,194.171.100.53,2016-05-05T00:03:39.547Z,2016-05-05T00:03:29.860Z,2667525289.0,9.687
17.0,194.171.96.217,194.171.101.142,2016-05-05T00:03:38.816Z,2016-05-05T00:03:34.182Z,2630067219.0,4.634
18.0,194.171.96.207,194.171.101.161,2016-05-05T00:03:35.706Z,2016-05-05T00:03:35.431Z,11548349.0,0.275
19.0,194.171.96.208,194.171.100.219,2016-05-05T00:03:50.072Z,2016-05-05T00:03:49.827Z,766288.0,0.245
20.0,194.171.96.209,194.171.101.194,2016-05-05T00:04:25.817Z,2016-05-05T00:04:20.334Z,2685452221.0,5.483
21.0,194.171.96.182,134.158.159.38,2016-05-05T00:04:24.030Z,2016-05-05T00:04:18.486Z,1930499736.0,5.544
22.0,194.171.96.202,193.48.99.59,2016-05-05T00:04:31.638Z,2016-05-05T00:04:24.928Z,708548810.0,6.71
23.0,194.171.96.206,194.171.101.140,2016-05-05T00:04:37.376Z,2016-05-05T00:04:30.737Z,2661622442.0,6.639
24.0,194.171.96.210,134.79.128.10,2016-05-05T00:04:36.117Z,2016-05-05T00:04:16.124Z,708244831.0,19.993
25.0,194.171.96.183,157.82.117.8,2016-05-05T00:04:39.721Z,2016-05-05T00:04:21.063Z,712035736.0,18.658
26.0,194.171.96.173,193.48.99.59,2016-05-05T00:04:37.044Z,2016-05-05T00:04:30.597Z,700654564.0,6.447
27.0,194.171.96.184,147.156.116.228,2016-05-05T00:04:45.688Z,2016-05-04T23:58:56.651Z,3624536279.0,349.037
28.0,194.171.96.186,134.79.128.10,2016-05-05T00:04:44.168Z,2016-05-05T00:04:20.329Z,700852065.0,23.839
29.0,194.171.96.216,194.171.100.53,2016-05-05T00:04:56.535Z,2016-05-05T00:04:31.564Z,4179220919.0,24.971
30.0,194.171.96.209,194.171.101.169,2016-05-05T00:04:52.312Z,2016-05-05T00:04:45.497Z,4141800777.0,6.815
31.0,194.171.96.190,134.79.128.10,2016-05-05T00:04:52.439Z,2016-05-05T00:04:20.651Z,704985818.0,31.788
32.0,194.171.96.206,194.171.100.2,2016-05-05T00:04:55.872Z,2016-05-05T00:04:51.006Z,2665854893.0,4.866
33.0,194.171.96.181,206.12.24.237,2016-05-05T00:05:05.079Z,2016-05-05T00:04:20.892Z,3204764098.0,44.187
34.0,194.171.96.183,194.171.101.155,2016-05-05T00:05:25.257Z,2016-05-05T00:05:23.963Z,715962892.0,1.294
35.0,194.171.96.208,194.171.101.140,2016-05-05T00:05:17.175Z,2016-05-05T00:05:07.715Z,4172333171.0,9.46
36.0,194.171.96.208,194.171.100.11,2016-05-05T00:05:19.120Z,2016-05-05T00:05:14.447Z,1468368848.0,4.673
37.0,194.171.96.182,194.171.101.169,2016-05-05T00:06:00.030Z,2016-05-05T00:05:49.487Z,4176037694.0,10.543
38.0,194.171.96.189,147.231.25.56,2016-05-05T00:06:13.706Z,2016-05-05T00:06:10.672Z,697178240.0,3.034
39.0,194.171.96.210,145.100.48.5,2016-05-05T00:06:20.291Z,2016-05-05T00:06:19.780Z,217350016.0,0.511
40.0,194.171.96.204,147.231.25.49,2016-05-05T00:06:27.762Z,2016-05-05T00:06:25.573Z,711585916.0,2.189
41.0,194.171.96.179,194.171.101.190,2016-05-05T00:06:25.853Z,2016-05-05T00:06:13.346Z,4177938764.0,12.507
42.0,194.171.96.203,128.142.209.49,2016-05-05T00:06:38.020Z,2016-05-05T00:06:36.025Z,104125237.0,1.995
44.0,194.171.96.209,131.154.130.99,2016-05-05T00:06:37.478Z,2016-05-05T00:06:21.269Z,1696296998.0,16.209
45.0,194.171.96.206,147.156.116.230,2016-05-05T00:06:37.405Z,2016-05-04T23:54:49.511Z,3600403794.0,707.894
46.0,194.171.96.210,194.171.101.190,2016-05-05T00:06:54.862Z,2016-05-05T00:06:48.175Z,4148872066.0,6.687
